;Lycopodiophyta;Pteridophyta;Gymnospermae;Angiospermae;Magnoliopsida;Liliopsida;Woody;Herbal;Tree;Shrub;Small_shrub;Semi-shrub;Liana;Prostrate;Perennial;Annual-biennal
Viola.collina;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.crassa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.epipsiloides;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.grypoceras;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.hamiltoniana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.hultenii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.kamtschadalorum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.kitamiana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.kusanoana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.langsdorfii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.mandshurica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.patrinii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.phalacrocarpa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.sacchalinensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.selkirkii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Viola.vorobievii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Gynostemma.pentaphylla;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Schizopepon.bryoniifolius;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Arabidopsis.kamchatica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Arabidopsis.petraea;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Arabis.hirsuta;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Arabis.serrata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Arabis.stelleri;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Barbarea.orthoceras;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Cardamine.bellidifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cardamine.impatiens;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Cardamine.leucantha;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cardamine.macrophylla;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cardamine.pratensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cardamine.schinziana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cardamine.scutata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cardamine.umbellata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cardamine.valida;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Catolobus.pendulus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Cochlearia.groenlandica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Draba.borealis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Draba.grandis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
Draba.hirta;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Erysimum.cheranthoides;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Eutrema.japonicum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Isatis.tinctoria;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Parrya.nudicaulis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rorippa.palustris;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Subularia.aquatica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Populus.sieboldii;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Populus.suaveolens;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
